x,y,z,Bx,By,Bz
-30.0,-20.0,-10.0,4.595,5.908,-0.0
-30.0,-20.0,0.0,3.545,4.909,-2.454
-30.0,-20.0,10.0,1.678,3.021,-3.021
-30.0,-20.0,20.0,0.44,1.586,-2.379
-30.0,-20.0,30.0,-0.088,0.795,-1.59
-30.0,-20.0,40.0,-0.247,0.404,-1.011
-30.0,-10.0,-40.0,1.017,1.144,3.432
-30.0,-10.0,-30.0,3.545,2.454,4.909
-30.0,-10.0,-20.0,7.974,4.485,4.485
-30.0,-10.0,-10.0,10.752,5.692,-0.0
-30.0,-10.0,0.0,7.974,4.485,-4.485
-30.0,-10.0,10.0,3.545,2.454,-4.909
-30.0,-10.0,20.0,1.017,1.144,-3.432
-30.0,-10.0,30.0,0.058,0.522,-2.089
-30.0,-10.0,40.0,-0.221,0.248,-1.242
-30.0,0.0,-40.0,1.309,-0.0,3.928
-30.0,0.0,-30.0,4.595,-0.0,5.908
-30.0,0.0,-20.0,10.752,-0.0,5.692
-30.0,0.0,-10.0,14.815,-0.0,-0.0
-30.0,0.0,0.0,10.752,-0.0,-5.692
-30.0,0.0,10.0,4.595,-0.0,-5.908
-30.0,0.0,20.0,1.309,-0.0,-3.928
-30.0,0.0,30.0,0.128,-0.0,-2.304
-30.0,0.0,40.0,-0.208,-0.0,-1.335
-30.0,10.0,-40.0,1.017,-1.144,3.432
-30.0,10.0,-30.0,3.545,-2.454,4.909
-30.0,10.0,-20.0,7.974,-4.485,4.485
-30.0,10.0,-10.0,10.752,-5.692,-0.0
-30.0,10.0,0.0,7.974,-4.485,-4.485
-30.0,10.0,10.0,3.545,-2.454,-4.909
-30.0,10.0,20.0,1.017,-1.144,-3.432
-30.0,10.0,30.0,0.058,-0.522,-2.089
-30.0,10.0,40.0,-0.221,-0.248,-1.242
-30.0,20.0,-40.0,0.44,-1.586,2.379
-30.0,20.0,-30.0,1.678,-3.021,3.021
-30.0,20.0,-20.0,3.545,-4.909,2.454
-30.0,20.0,-10.0,4.595,-5.908,-0.0
-30.0,20.0,0.0,3.545,-4.909,-2.454
-30.0,20.0,10.0,1.678,-3.021,-3.021
-30.0,20.0,20.0,0.44,-1.586,-2.379
-30.0,20.0,30.0,-0.088,-0.795,-1.59
-30.0,20.0,40.0,-0.247,-0.404,-1.011
-30.0,30.0,-40.0,-0.0,-1.426,1.426
