x,y,z,u,v,w
-270, 36000, 0, -24, 41, 25
-1070, 36000, 0, -25, 43, 28
-1870, 36000, 0, -28, 43, 30
-2670, 36000, 0, -31, 44, 33
-3470, 36000, 0, -33, 44, 35
-4270, 36000, 0, -37, 45, 37
-5070, 36000, 0, -39, 44, 40
-5870, 36000, 0, -40, 44, 43
-6670, 36000, 0, -44, 43, 45
-7470, 36000, 0, -46, 42, 47
-8270, 36000, 0, -49, 40, 49
-9070, 36000, 0, -50, 38, 51
-9870, 36000, 0, -52, 36, 53
-10670, 36000, 0, -53, 33, 55
-11470, 36000, 0, -54, 30, 56
-12270, 36000, 0, -55, 26, 57
-13070, 36000, 0, -55, 23, 58
-13870, 36000, 0, -55, 20, 58
-14670, 36000, 0, -56, 18, 59
-15470, 36000, 0, -56, 15, 59
-16270, 36000, 0, -55, 13, 60
-17070, 36000, 0, -55, 11, 60
-17870, 36000, 0, -55, 10, 60
-18670, 36000, 0, -56, 7, 61
-19470, 36000, 0, -56, 5, 61
-20270, 36000, 0, -55, 4, 60
-21070, 36000, 0, -55, 3, 60
-21870, 36000, 0, -55, 2, 60
-22670, 36000, 0, -55, 1, 61
-23470, 36000, 0, -55, 1, 61
-24270, 36000, 0, -54, -1, 60
-25070, 36000, 0, -54, -1, 61
-25870, 36000, 0, -55, -2, 61
-26670, 36000, 0, -54, -3, 60
-27470, 36000, 0, -54, -3, 61
-28270, 36000, 0, -53, -4, 61
-29070, 36000, 0, -54, -4, 61
-29870, 36000, 0, -54, -5, 61
-30670, 36000, 0, -54, -5, 61
-31470, 36000, 0, -54, -5, 61
-32270, 36000, 0, -54, -6, 61
-33070, 36000, 0, -54, -6, 61
-33870, 36000, 0, -54, -6, 61
-34670, 36000, 0, -55, -7, 61
-35470, 36000, 0, -54, -8, 62
-36270, 36000, 0, -54, -8, 62
-37070, 36000, 0, -54, -8, 62
-37870, 36000, 0, -54, -9, 62
-38670, 36000, 0, -54, -9, 63
-39470, 36000, 0, -54, -10, 62
-40270, 36000, 0, -55, -10, 63
-41070, 36000, 0, -55, -11, 63
-41870, 36000, 0, -55, -11, 63
-42670, 36000, 0, -55, -11, 63
-43470, 36000, 0, -56, -12, 64
-44270, 36000, 0, -55, -12, 64
-45070, 36000, 0, -55, -13, 64
-45870, 36000, 0, -56, -13, 65
-46670, 36000, 0, -56, -15, 64
-47470, 36000, 0, -56, -16, 65
-48270, 36000, 0, -57, -17, 65
-49070, 36000, 0, -56, -18, 66
-49870, 36000, 0, -57, -19, 65
-50670, 36000, 0, -56, -20, 65
-51470, 36000, 0, -56, -22, 66
-52270, 36000, 0, -57, -23, 65
-53070, 36000, 0, -56, -25, 65
-53870, 36000, 0, -57, -27, 65
-54670, 36000, 0, -57, -29, 64
-55470, 36000, 0, -56, -30, 63
-56270, 36000, 0, -55, -34, 62
-57070, 36000, 0, -55, -36, 61
-57870, 36000, 0, -53, -39, 60
-58670, 36000, 0, -52, -41, 58
-59470, 36000, 0, -50, -44, 57
-60270, 36000, 0, -48, -48, 54
-61070, 36000, 0, -45, -51, 52
-61870, 36000, 0, -43, -53, 50
-62670, 36000, 0, -40, -55, 47
-63470, 36000, 0, -37, -57, 45
-64270, 36000, 0, -34, -58, 42
-65070, 36000, 0, -32, -58, 40
-65870, 36000, 0, -29, -59, 36
-66670, 36000, 0, -26, -58, 34
