x,y,z,u,v,w
0, -270, 0, 68, -38, 30
0, -1070, 0, 68, -38, 30
0, -1870, 0, 70, -41, 31
0, -2670, 0, 71, -43, 31
0, -3470, 0, 73, -46, 32
0, -4270, 0, 75, -49, 33
0, -5070, 0, 77, -50, 33
0, -5870, 0, 78, -55, 35
0, -6670, 0, 80, -58, 36
0, -7470, 0, 82, -62, 37
0, -8270, 0, 85, -66, 37
0, -9070, 0, 86, -69, 38
0, -9870, 0, 88, -74, 39
0, -10670, 0, 90, -78, 40
0, -11470, 0, 92, -83, 41
0, -12270, 0, 94, -87, 41
0, -13070, 0, 96, -92, 42
0, -13870, 0, 98, -97, 42
0, -14670, 0, 100, -102, 43
0, -15470, 0, 102, -107, 44
0, -16270, 0, 104, -113, 45
0, -17070, 0, 106, -119, 45
0, -17870, 0, 108, -125, 45
0, -18670, 0, 110, -130, 46
0, -19470, 0, 112, -137, 47
0, -20270, 0, 114, -143, 46
0, -21070, 0, 116, -148, 47
0, -21870, 0, 118, -154, 46
0, -22670, 0, 119, -160, 47
0, -23470, 0, 121, -168, 47
0, -24270, 0, 123, -173, 46
0, -25070, 0, 124, -178, 46
0, -25870, 0, 125, -183, 45
0, -26670, 0, 128, -190, 45
0, -27470, 0, 128, -195, 44
0, -28270, 0, 129, -199, 42
0, -29070, 0, 130, -204, 42
0, -29870, 0, 132, -210, 41
0, -30670, 0, 133, -213, 39
0, -31470, 0, 133, -216, 38
0, -32270, 0, 134, -221, 36
0, -33070, 0, 136, -224, 34
0, -33870, 0, 136, -225, 32
0, -34670, 0, 136, -227, 30
0, -35470, 0, 136, -229, 28
0, -36270, 0, 137, -230, 26
0, -37070, 0, 137, -231, 23
0, -37870, 0, 137, -230, 20
0, -38670, 0, 137, -230, 18
0, -39470, 0, 137, -229, 15
0, -40270, 0, 138, -227, 13
0, -41070, 0, 136, -225, 9
0, -41870, 0, 135, -223, 7
0, -42670, 0, 135, -219, 3
0, -43470, 0, 134, -216, 1
0, -44270, 0, 133, -211, -2
0, -45070, 0, 133, -208, -5
0, -45870, 0, 131, -204, -8
0, -46670, 0, 130, -199, -10
0, -47470, 0, 129, -193, -13
0, -48270, 0, 128, -189, -16
0, -49070, 0, 127, -183, -18
0, -49870, 0, 125, -177, -21
0, -50670, 0, 124, -171, -24
0, -51470, 0, 122, -165, -25
0, -52270, 0, 120, -159, -28
0, -53070, 0, 119, -153, -29
0, -53870, 0, 117, -147, -31
0, -54670, 0, 115, -142, -32
0, -55470, 0, 114, -135, -34
0, -56270, 0, 112, -129, -36
0, -57070, 0, 109, -123, -37
0, -57870, 0, 107, -118, -38
0, -58670, 0, 106, -112, -39
0, -59470, 0, 103, -106, -40
0, -60270, 0, 101, -102, -40
0, -61070, 0, 99, -96, -41
0, -61870, 0, 98, -91, -41
0, -62670, 0, 95, -86, -41
0, -63470, 0, 94, -82, -42
0, -64270, 0, 91, -78, -42
0, -65070, 0, 89, -73, -42
0, -65870, 0, 87, -69, -41
0, -66670, 0, 85, -65, -41
0, -67470, 0, 83, -62, -41
0, -68270, 0, 81, -58, -40
0, -69070, 0, 79, -54, -41
0, -69870, 0, 78, -51, -40
0, -70670, 0, 76, -49, -39
0, -71470, 0, 74, -46, -39
0, -72270, 0, 72, -43, -38
0, -73070, 0, 70, -40, -37
0, -73870, 0, 69, -37, -37
0, -74670, 0, 68, -35, -36
0, -75470, 0, 65, -33, -35
0, -76270, 0, 64, -31, -35
0, -77070, 0, 63, -29, -34
0, -77870, 0, 61, -28, -32
0, -78670, 0, 60, -25, -32
0, -79470, 0, 58, -23, -31
0, -80270, 0, 56, -22, -30
0, -81070, 0, 55, -21, -29
0, -81870, 0, 54, -19, -28
0, -82670, 0, 53, -18, -28
0, -83470, 0, 51, -17, -27
0, -84270, 0, 50, -15, -26
0, -85070, 0, 49, -14, -25
0, -85870, 0, 48, -13, -25
0, -86670, 0, 47, -13, -24
0, -87470, 0, 45, -12, -23
0, -88270, 0, 44, -11, -22
0, -89070, 0, 43, -11, -21
0, -89870, 0, 42, -10, -21
0, -90670, 0, 41, -9, -20
0, -91470, 0, 41, -8, -20
0, -92270, 0, 39, -7, -18
0, -93070, 0, 38, -6, -18
0, -93870, 0, 38, -6, -18
0, -94670, 0, 37, -5, -16
0, -95470, 0, 35, -4, -17
270, -96000, 0, 35, -5, -16
1070, -96000, 0, 36, -5, -17
1870, -96000, 0, 37, -6, -18
2670, -96000, 0, 36, -5, -17
3470, -96000, 0, 38, -6, -20
4270, -96000, 0, 38, -6, -20
5070, -96000, 0, 39, -7, -22
5870, -96000, 0, 40, -6, -23
6670, -96000, 0, 40, -6, -23
7470, -96000, 0, 41, -6, -25
8000, -95730, 0, 42, -6, -25
8000, -94930, 0, 42, -6, -26
8000, -94130, 0, 43, -6, -26
8000, -93330, 0, 44, -7, -27
8000, -92530, 0, 44, -7, -28
8000, -91730, 0, 45, -8, -29
8000, -90930, 0, 46, -8, -30
8000, -90130, 0, 47, -9, -31
8000, -89330, 0, 48, -10, -33
8000, -88530, 0, 49, -11, -34
8000, -87730, 0, 52, -12, -35
8000, -86930, 0, 53, -13, -37
8000, -86130, 0, 54, -15, -38
8000, -85330, 0, 56, -16, -40
8000, -84530, 0, 57, -16, -42
8000, -83730, 0, 60, -18, -44
8000, -82930, 0, 61, -20, -45
8000, -82130, 0, 63, -22, -47
8000, -81330, 0, 65, -23, -49
8000, -80530, 0, 66, -25, -51
8000, -79730, 0, 68, -28, -53
8000, -78930, 0, 71, -30, -56
8000, -78130, 0, 73, -31, -58
8000, -77330, 0, 75, -35, -60
8000, -76530, 0, 78, -38, -62
8000, -75730, 0, 80, -41, -65
8000, -74930, 0, 83, -45, -67
8000, -74130, 0, 85, -48, -69
8000, -73330, 0, 88, -51, -72
8000, -72530, 0, 91, -56, -74
8000, -71730, 0, 94, -61, -77
8000, -70930, 0, 97, -66, -80
8000, -70130, 0, 99, -71, -82
8000, -69330, 0, 103, -76, -84
8000, -68530, 0, 106, -83, -87
8000, -67730, 0, 110, -89, -90
8000, -66930, 0, 112, -97, -92
8000, -66130, 0, 115, -103, -94
8000, -65330, 0, 119, -112, -97
8000, -64530, 0, 122, -121, -98
8000, -63730, 0, 125, -130, -100
8000, -62930, 0, 129, -140, -102
8000, -62130, 0, 133, -151, -103
8000, -61330, 0, 136, -162, -104
8000, -60530, 0, 141, -173, -105
8000, -59730, 0, 144, -186, -107
8000, -58930, 0, 147, -199, -106
8000, -58130, 0, 150, -215, -106
8000, -57330, 0, 153, -228, -105
8000, -56530, 0, 156, -243, -105
8000, -55730, 0, 161, -261, -103
8000, -54930, 0, 163, -277, -101
8000, -54130, 0, 165, -290, -99
8000, -53330, 0, 170, -298, -96
8000, -52530, 0, 173, -301, -93
8000, -51730, 0, 174, -304, -89
8000, -50930, 0, 176, -306, -84
8000, -50130, 0, 180, -307, -80
8000, -49330, 0, 182, -309, -74
8000, -48530, 0, 183, -309, -67
8000, -47730, 0, 184, -310, -61
8000, -46930, 0, 187, -311, -56
8000, -46130, 0, 190, -312, -48
8000, -45330, 0, 189, -313, -40
8000, -44530, 0, 190, -313, -32
8000, -43730, 0, 192, -314, -25
8000, -42930, 0, 193, -314, -16
8000, -42130, 0, 193, -314, -8
8000, -41330, 0, 193, -315, 1
8000, -40530, 0, 195, -315, 9
8000, -39730, 0, 196, -315, 18
8000, -38930, 0, 194, -315, 26
8000, -38130, 0, 194, -316, 35
8000, -37330, 0, 196, -316, 43
8000, -36530, 0, 197, -316, 51
8000, -35730, 0, 195, -316, 59
8000, -34930, 0, 194, -315, 65
8000, -34130, 0, 197, -316, 72
8000, -33330, 0, 197, -316, 78
8000, -32530, 0, 194, -316, 83
8000, -31730, 0, 194, -315, 88
8000, -30930, 0, 196, -316, 93
8000, -30130, 0, 195, -315, 98
8000, -29330, 0, 192, -315, 102
8000, -28530, 0, 192, -315, 105
8000, -27730, 0, 193, -314, 107
8000, -26930, 0, 193, -314, 110
8000, -26130, 0, 190, -313, 112
8000, -25330, 0, 188, -312, 112
8000, -24530, 0, 189, -312, 114
8000, -23730, 0, 187, -311, 114
8000, -22930, 0, 183, -310, 113
8000, -22130, 0, 181, -310, 113
8000, -21330, 0, 181, -308, 112
8000, -20530, 0, 179, -307, 112
8000, -19730, 0, 175, -306, 110
8000, -18930, 0, 172, -304, 108
8000, -18130, 0, 171, -302, 106
8000, -17330, 0, 168, -298, 105
8000, -16530, 0, 164, -292, 102
8000, -15730, 0, 161, -276, 100
8000, -14930, 0, 158, -261, 98
8000, -14130, 0, 155, -246, 95
8000, -13330, 0, 151, -230, 93
8000, -12530, 0, 147, -215, 90
8000, -11730, 0, 145, -201, 87
8000, -10930, 0, 142, -188, 85
8000, -10130, 0, 137, -175, 82
8000, -9330, 0, 134, -162, 79
