0, 35730, 0, 90, 94, -77
0, 34930, 0, 122, 116, -80
0, 34130, 0, 151, 131, -80
0, 33330, 0, 165, 138, -69
0, 32530, 0, 169, 141, -47
0, 31730, 0, 173, 140, -20
0, 30930, 0, 165, 132, 6
0, 30130, 0, 135, 111, 34
0, 29330, 0, 100, 88, 62
0, 28530, 0, 74, 68, 81
0, 27730, 0, 56, 53, 88
0, 26930, 0, 44, 42, 87
0, 26130, 0, 34, 32, 84
0, 25330, 0, 26, 25, 81
0, 24530, 0, 21, 18, 77
0, 23730, 0, 16, 12, 73
0, 22930, 0, 11, 7, 71
0, 22130, 0, 7, 2, 69
0, 21330, 0, 4, -3, 67
0, 20530, 0, 0, -8, 66
0, 19730, 0, -4, -12, 65
0, 18930, 0, -7, -17, 66
0, 18130, 0, -10, -23, 65
0, 17330, 0, -14, -27, 65
0, 16530, 0, -18, -33, 66
0, 15730, 0, -22, -39, 67
0, 14930, 0, -27, -46, 68
0, 14130, 0, -34, -54, 71
0, 13330, 0, -43, -65, 75
0, 12530, 0, -54, -77, 77
0, 11730, 0, -69, -96, 81
0, 10930, 0, -91, -121, 85
0, 10130, 0, -115, -147, 86
0, 9330, 0, -134, -164, 81
0, 8530, 0, -139, -167, 65
0, 7730, 0, -138, -167, 42
0, 6930, 0, -134, -162, 14
0, 6130, 0, -123, -146, -8
0, 5330, 0, -101, -121, -32
0, 4530, 0, -79, -97, -53
0, 3730, 0, -64, -81, -63
0, 2930, 0, -53, -70, -65
0, 2130, 0, -45, -61, -62
0, 1330, 0, -38, -55, -59
0, 530, 0, -34, -49, -55
270, 0, 0, -31, -46, -53
1070, 0, 0, -32, -45, -56
1870, 0, 0, -33, -44, -58
2400, 270, 0, -33, -44, -61
2400, 1070, 0, -38, -46, -65
2400, 1870, 0, -44, -49, -71
2400, 2670, 0, -52, -55, -79
2400, 3470, 0, -63, -62, -87
2400, 4270, 0, -81, -69, -90
2400, 5070, 0, -110, -78, -78
2400, 5870, 0, -177, -89, -46
2400, 6670, 0, -302, -99, -13
2400, 7470, 0, -309, -103, 16
2400, 8270, 0, -308, -103, 50
2400, 9070, 0, -310, -104, 88
2400, 9870, 0, -313, -103, 110
2400, 10670, 0, -257, -98, 111
2400, 11470, 0, -138, -88, 104
2400, 12270, 0, -91, -76, 96
2400, 13070, 0, -66, -66, 90
2400, 13870, 0, -51, -57, 84
2400, 14670, 0, -40, -49, 80
2400, 15470, 0, -32, -43, 77
2400, 16270, 0, -26, -37, 73
2400, 17070, 0, -20, -32, 73
2400, 17870, 0, -15, -27, 71
2400, 18670, 0, -12, -22, 71
2400, 19470, 0, -7, -18, 71
2400, 20270, 0, -3, -14, 72
2400, 21070, 0, 0, -9, 73
2400, 21870, 0, 5, -4, 74
2400, 22670, 0, 9, 0, 77
2400, 23470, 0, 14, 3, 80
2400, 24270, 0, 18, 9, 84
2400, 25070, 0, 25, 15, 89
2400, 25870, 0, 33, 21, 94
2400, 26670, 0, 41, 26, 100
2400, 27470, 0, 55, 34, 107
2400, 28270, 0, 72, 41, 112
2400, 29070, 0, 100, 50, 105
2400, 29870, 0, 151, 62, 77
2400, 30670, 0, 244, 70, 42
2400, 31470, 0, 353, 76, 10
2400, 32270, 0, 347, 78, -19
2400, 33070, 0, 331, 78, -52
2400, 33870, 0, 328, 77, -84
2400, 34670, 0, 336, 76, -102
2400, 35470, 0, 276, 74, -103
2670, 36000, 0, 185, 65, -99
3470, 36000, 0, 189, 56, -104
4270, 36000, 0, 187, 50, -105
4800, 35730, 0, 183, 47, -107
4800, 34930, 0, 260, 50, -112
4800, 34130, 0, 300, 53, -110
4800, 33330, 0, 287, 53, -90
4800, 32530, 0, 287, 54, -56
4800, 31730, 0, 307, 55, -22
4800, 30930, 0, 332, 54, 11
4800, 30130, 0, 241, 50, 44
4800, 29330, 0, 150, 44, 87
4800, 28530, 0, 101, 37, 117
4800, 27730, 0, 75, 32, 121
4800, 26930, 0, 58, 26, 116
4800, 26130, 0, 45, 21, 108
4800, 25330, 0, 34, 16, 101
4800, 24530, 0, 26, 11, 94
4800, 23730, 0, 20, 6, 90
4800, 22930, 0, 15, 3, 85
4800, 22130, 0, 11, -2, 82
4800, 21330, 0, 5, -5, 80
4800, 20530, 0, 0, -10, 79
4800, 19730, 0, -3, -13, 77
4800, 18930, 0, -8, -17, 76
4800, 18130, 0, -12, -21, 77
4800, 17330, 0, -16, -25, 77
4800, 16530, 0, -21, -29, 80
4800, 15730, 0, -27, -33, 81
4800, 14930, 0, -35, -38, 85
4800, 14130, 0, -44, -43, 88
4800, 13330, 0, -55, -49, 93
4800, 12530, 0, -71, -54, 98
4800, 11730, 0, -101, -61, 107
4800, 10930, 0, -157, -68, 117
4800, 10130, 0, -288, -74, 125
4800, 9330, 0, -308, -75, 121
4800, 8530, 0, -297, -75, 94
4800, 7730, 0, -291, -74, 48
4800, 6930, 0, -301, -75, 14
4800, 6130, 0, -302, -73, -17
4800, 5330, 0, -187, -69, -50
4800, 4530, 0, -120, -63, -85
4800, 3730, 0, -86, -58, -100
4800, 2930, 0, -68, -53, -95
4800, 2130, 0, -55, -49, -86
4800, 1330, 0, -46, -45, -77
4800, 530, 0, -40, -42, -69
5070, 0, 0, -36, -39, -66
5870, 0, 0, -36, -39, -67
6670, 0, 0, -38, -37, -69
7200, 270, 0, -38, -36, -70
7200, 1070, 0, -42, -37, -75
7200, 1870, 0, -49, -41, -82
7200, 2670, 0, -58, -43, -90
7200, 3470, 0, -71, -45, -98
7200, 4270, 0, -89, -47, -99
7200, 5070, 0, -119, -50, -84
7200, 5870, 0, -174, -54, -49
7200, 6670, 0, -270, -59, -15
7200, 7470, 0, -262, -61, 14
7200, 8270, 0, -250, -60, 48
7200, 9070, 0, -258, -61, 89
7200, 9870, 0, -286, -62, 119
7200, 10670, 0, -249, -60, 125
7200, 11470, 0, -148, -55, 119
7200, 12270, 0, -101, -50, 111
7200, 13070, 0, -75, -45, 104
7200, 13870, 0, -58, -42, 98
7200, 14670, 0, -46, -38, 92
7200, 15470, 0, -37, -34, 89
7200, 16270, 0, -29, -31, 86
7200, 17070, 0, -23, -27, 83
7200, 17870, 0, -17, -24, 82
7200, 18670, 0, -12, -20, 81
7200, 19470, 0, -8, -17, 81
7200, 20270, 0, -3, -14, 82
7200, 21070, 0, 1, -11, 83
7200, 21870, 0, 6, -6, 85
7200, 22670, 0, 10, -4, 88
7200, 23470, 0, 16, -1, 92
7200, 24270, 0, 22, 3, 96
7200, 25070, 0, 29, 7, 101
7200, 25870, 0, 37, 10, 107
7200, 26670, 0, 48, 14, 114
7200, 27470, 0, 62, 18, 120
7200, 28270, 0, 82, 22, 122
7200, 29070, 0, 109, 26, 111
7200, 29870, 0, 156, 31, 77
7200, 30670, 0, 243, 37, 36
7200, 31470, 0, 293, 41, 2
7200, 32270, 0, 267, 41, -26
7200, 33070, 0, 252, 40, -60
7200, 33870, 0, 254, 39, -92
7200, 34670, 0, 263, 39, -108
7200, 35470, 0, 196, 37, -109
7470, 36000, 0, 141, 32, -104
8270, 36000, 0, 139, 30, -104
9070, 36000, 0, 137, 28, -103
9600, 35730, 0, 134, 27, -103
9600, 34930, 0, 183, 30, -106
9600, 34130, 0, 247, 33, -106
9600, 33330, 0, 241, 34, -92
9600, 32530, 0, 237, 35, -61
9600, 31730, 0, 253, 36, -26
9600, 30930, 0, 281, 36, 3
9600, 30130, 0, 228, 32, 37
9600, 29330, 0, 148, 26, 78
9600, 28530, 0, 105, 24, 110
9600, 27730, 0, 80, 18, 122
9600, 26930, 0, 62, 14, 121
9600, 26130, 0, 49, 11, 116
9600, 25330, 0, 39, 8, 111
9600, 24530, 0, 31, 5, 106
9600, 23730, 0, 24, 2, 100
9600, 22930, 0, 17, -1, 95
9600, 22130, 0, 12, -4, 93
9600, 21330, 0, 7, -7, 89
9600, 20530, 0, 2, -9, 87
9600, 19730, 0, -2, -13, 86
9600, 18930, 0, -7, -16, 85
9600, 18130, 0, -12, -18, 86
9600, 17330, 0, -17, -21, 86
9600, 16530, 0, -22, -24, 87
9600, 15730, 0, -28, -27, 89
9600, 14930, 0, -36, -30, 92
9600, 14130, 0, -44, -33, 97
9600, 13330, 0, -57, -35, 101
9600, 12530, 0, -72, -38, 106
9600, 11730, 0, -95, -42, 113
9600, 10930, 0, -135, -47, 119
9600, 10130, 0, -226, -53, 124
9600, 9330, 0, -272, -55, 118
9600, 8530, 0, -244, -54, 93
9600, 7730, 0, -233, -53, 50
9600, 6930, 0, -243, -54, 17
9600, 6130, 0, -259, -53, -10
9600, 5330, 0, -176, -49, -43
9600, 4530, 0, -120, -45, -77
9600, 3730, 0, -91, -43, -95
9600, 2930, 0, -73, -40, -96
9600, 2130, 0, -60, -38, -90
9600, 1330, 0, -51, -37, -83
9600, 530, 0, -43, -34, -76
9870, 0, 0, -39, -33, -73
10670, 0, 0, -40, -32, -72
11470, 0, 0, -40, -31, -73
12000, 270, 0, -41, -30, -73
12000, 1070, 0, -45, -31, -78
12000, 1870, 0, -52, -32, -83
12000, 2670, 0, -61, -34, -90
12000, 3470, 0, -73, -36, -94
12000, 4270, 0, -90, -37, -92
12000, 5070, 0, -115, -40, -74
12000, 5870, 0, -169, -44, -41
12000, 6670, 0, -245, -48, -10
12000, 7470, 0, -229, -50, 17
12000, 8270, 0, -222, -51, 49
12000, 9070, 0, -232, -51, 89
12000, 9870, 0, -260, -52, 115
12000, 10670, 0, -212, -49, 121
12000, 11470, 0, -131, -44, 118
12000, 12270, 0, -94, -40, 113
12000, 13070, 0, -72, -36, 107
12000, 13870, 0, -57, -34, 102
12000, 14670, 0, -46, -31, 98
12000, 15470, 0, -37, -29, 95
12000, 16270, 0, -29, -26, 92
12000, 17070, 0, -23, -24, 90
12000, 17870, 0, -18, -21, 89
12000, 18670, 0, -12, -19, 89
12000, 19470, 0, -7, -16, 90
12000, 20270, 0, -3, -14, 90
12000, 21070, 0, 2, -12, 91
12000, 21870, 0, 7, -9, 93
12000, 22670, 0, 13, -6, 96
12000, 23470, 0, 18, -4, 99
12000, 24270, 0, 25, -2, 103
12000, 25070, 0, 33, 1, 107
12000, 25870, 0, 41, 4, 113
12000, 26670, 0, 53, 7, 117
12000, 27470, 0, 67, 10, 120
12000, 28270, 0, 87, 13, 116
12000, 29070, 0, 115, 17, 98
12000, 29870, 0, 166, 22, 62
12000, 30670, 0, 247, 29, 24
12000, 31470, 0, 257, 31, -6
12000, 32270, 0, 233, 31, -36
12000, 33070, 0, 225, 30, -67
12000, 33870, 0, 231, 30, -92
12000, 34670, 0, 227, 28, -104
12000, 35470, 0, 153, 24, -103
12270, 36000, 0, 115, 21, -99
13070, 36000, 0, 114, 20, -99
13870, 36000, 0, 114, 19, -98
14400, 35730, 0, 112, 18, -97
14400, 34930, 0, 148, 21, -99
14400, 34130, 0, 215, 25, -102
14400, 33330, 0, 226, 27, -92
14400, 32530, 0, 220, 28, -66
14400, 31730, 0, 229, 31, -33
14400, 30930, 0, 255, 30, -4
14400, 30130, 0, 237, 27, 27
14400, 29330, 0, 157, 21, 64
14400, 28530, 0, 111, 16, 100
14400, 27730, 0, 84, 12, 117
14400, 26930, 0, 66, 9, 120
14400, 26130, 0, 53, 6, 117
14400, 25330, 0, 42, 5, 113
14400, 24530, 0, 33, 1, 109
14400, 23730, 0, 26, -1, 105
14400, 22930, 0, 20, -4, 102
14400, 22130, 0, 14, -6, 99
14400, 21330, 0, 8, -8, 96
14400, 20530, 0, 4, -11, 94
14400, 19730, 0, 0, -13, 94
14400, 18930, 0, -6, -15, 91
14400, 18130, 0, -10, -17, 91
14400, 17330, 0, -15, -19, 92
14400, 16530, 0, -21, -21, 93
14400, 15730, 0, -28, -23, 94
14400, 14930, 0, -35, -25, 96
14400, 14130, 0, -44, -28, 99
14400, 13330, 0, -54, -30, 102
14400, 12530, 0, -66, -32, 107
14400, 11730, 0, -85, -35, 112
14400, 10930, 0, -118, -40, 116
14400, 10130, 0, -186, -45, 121
14400, 9330, 0, -255, -48, 114
14400, 8530, 0, -228, -49, 93
14400, 7730, 0, -215, -48, 56
14400, 6930, 0, -219, -48, 22
14400, 6130, 0, -237, -47, -6
14400, 5330, 0, -174, -42, -35
14400, 4530, 0, -119, -38, -67
14400, 3730, 0, -91, -35, -88
14400, 2930, 0, -74, -32, -92
14400, 2130, 0, -62, -31, -88
14400, 1330, 0, -52, -30, -83
14400, 530, 0, -45, -29, -77
14670, 0, 0, -41, -28, -74
15470, 0, 0, -42, -27, -73
16270, 0, 0, -42, -26, -73
16800, 270, 0, -42, -25, -73
16800, 1070, 0, -46, -25, -77
16800, 1870, 0, -53, -27, -82
16800, 2670, 0, -62, -28, -87
16800, 3470, 0, -72, -30, -90
16800, 4270, 0, -89, -31, -88
16800, 5070, 0, -113, -35, -68
16800, 5870, 0, -164, -39, -37
16800, 6670, 0, -230, -44, -9
16800, 7470, 0, -216, -47, 17
16800, 8270, 0, -209, -45, 50
16800, 9070, 0, -221, -48, 87
16800, 9870, 0, -246, -48, 111
16800, 10670, 0, -195, -46, 117
16800, 11470, 0, -124, -40, 115
16800, 12270, 0, -90, -36, 111
16800, 13070, 0, -70, -33, 108
16800, 13870, 0, -56, -30, 103
16800, 14670, 0, -45, -28, 102
16800, 15470, 0, -37, -26, 98
16800, 16270, 0, -29, -25, 96
16800, 17070, 0, -23, -23, 94
16800, 17870, 0, -17, -21, 94
16800, 18670, 0, -12, -19, 94
16800, 19470, 0, -7, -17, 94
16800, 20270, 0, -3, -15, 95
16800, 21070, 0, 2, -13, 96
16800, 21870, 0, 7, -11, 98
16800, 22670, 0, 13, -9, 100
16800, 23470, 0, 19, -7, 103
16800, 24270, 0, 26, -5, 106
16800, 25070, 0, 33, -2, 110
16800, 25870, 0, 43, 0, 113
16800, 26670, 0, 53, 3, 117
16800, 27470, 0, 68, 5, 119
16800, 28270, 0, 86, 9, 114
16800, 29070, 0, 115, 13, 93
16800, 29870, 0, 165, 18, 56
16800, 30670, 0, 242, 24, 21
16800, 31470, 0, 243, 27, -9
16800, 32270, 0, 221, 27, -36
16800, 33070, 0, 215, 25, -65
16800, 33870, 0, 220, 25, -90
16800, 34670, 0, 207, 24, -99
16800, 35470, 0, 137, 19, -97
17070, 36000, 0, 104, 15, -95
