x,y,z,u,v,w
0, -270, 0, 0, -2, 22
0, -1070, 0, 0, -1, 22
0, -1870, 0, 0, -2, 23
0, -2670, 0, -1, -2, 24
0, -3470, 0, -1, -2, 24
0, -4270, 0, -1, -2, 26
0, -5070, 0, -1, -2, 27
0, -5870, 0, -1, -2, 27
0, -6670, 0, -3, -3, 28
0, -7470, 0, -3, -2, 29
0, -8270, 0, -3, -3, 30
0, -9070, 0, -4, -3, 31
0, -9870, 0, -4, -3, 32
0, -10670, 0, -6, -3, 34
0, -11470, 0, -5, -3, 35
0, -12270, 0, -7, -3, 36
0, -13070, 0, -8, -4, 38
0, -13870, 0, -9, -4, 40
0, -14670, 0, -10, -5, 41
0, -15470, 0, -11, -5, 43
0, -16270, 0, -12, -5, 44
0, -17070, 0, -14, -5, 47
0, -17870, 0, -16, -5, 49
0, -18670, 0, -18, -6, 51
0, -19470, 0, -21, -6, 53
0, -20270, 0, -24, -6, 55
0, -21070, 0, -26, -7, 58
0, -21870, 0, -31, -7, 60
0, -22670, 0, -35, -7, 63
0, -23470, 0, -40, -7, 66
0, -24270, 0, -47, -7, 68
0, -25070, 0, -54, -7, 72
0, -25870, 0, -65, -7, 74
0, -26670, 0, -76, -8, 78
0, -27470, 0, -91, -8, 81
0, -28270, 0, -111, -8, 85
0, -29070, 0, -137, -9, 88
0, -29870, 0, -173, -9, 91
0, -30670, 0, -210, -10, 94
0, -31470, 0, -225, -9, 95
0, -32270, 0, -222, -10, 96
0, 32466, 0, -213, -11, 97
0, 31666, 0, -206, -11, 96
0, 30866, 0, -197, -11, 92
0, 30066, 0, -188, -11, 88
0, 29266, 0, -181, -11, 82
0, 28466, 0, -174, -10, 75
0, 27666, 0, -170, -10, 68
0, 26866, 0, -169, -9, 61
0, 26066, 0, -172, -9, 55
0, 25266, 0, -175, -8, 48
0, 24466, 0, -178, -8, 44
0, 23666, 0, -180, -8, 40
0, 22866, 0, -182, -8, 37
0, 22066, 0, -181, -8, 33
0, 21266, 0, -178, -9, 31
0, 20466, 0, -173, -9, 29
0, 19666, 0, -167, -10, 26
0, 18866, 0, -164, -11, 24
0, 18066, 0, -165, -11, 21
0, 17266, 0, -169, -13, 19
0, 16466, 0, -175, -15, 16
0, 15666, 0, -178, -16, 14
0, 14866, 0, -174, -18, 12
0, 14066, 0, -171, -19, 9
0, 13266, 0, -169, -21, 7
0, 12466, 0, -170, -23, 5
0, 11666, 0, -168, -24, 2
0, 10866, 0, -165, -25, 0
0, 10066, 0, -162, -26, -3
0, 9266, 0, -163, -27, -6
0, 8466, 0, -167, -28, -9
0, 7666, 0, -169, -28, -12
0, 6866, 0, -169, -29, -15
0, 6066, 0, -168, -30, -18
0, 5266, 0, -170, -30, -22
0, 4466, 0, -175, -30, -26
0, 3666, 0, -185, -30, -30
0, 2866, 0, -196, -30, -34
0, 2066, 0, -182, -28, -39
0, 1266, 0, -153, -27, -45
0, 466, 0, -126, -26, -51
0, -334, 0, -106, -25, -58
0, -1134, 0, -92, -24, -65
0, -1934, 0, -79, -23, -71
0, -2734, 0, -70, -21, -78
0, -3534, 0, -61, -20, -83
0, -4334, 0, -54, -19, -87
0, -5134, 0, -48, -18, -88
0, -5934, 0, -42, -17, -91
0, -6734, 0, -38, -16, -92
0, -7534, 0, -35, -16, -91
0, -8334, 0, -31, -15, -89
0, -9134, 0, -28, -13, -87
0, -9934, 0, -25, -13, -86
0, -10734, 0, -22, -12, -82
0, -11534, 0, -21, -12, -80
0, -12334, 0, -19, -11, -77
0, -13134, 0, -17, -11, -75
0, -13934, 0, -15, -10, -72
0, -14734, 0, -14, -9, -69
0, -15534, 0, -13, -8, -65
0, -16334, 0, -11, -7, -65
0, -17134, 0, -11, -8, -62
0, -17934, 0, -10, -7, -59
0, -18734, 0, -9, -7, -57
0, -19534, 0, -8, -7, -54
0, -20334, 0, -7, -6, -53
0, -21134, 0, -7, -6, -51
0, -21934, 0, -7, -6, -49
0, -22734, 0, -6, -5, -48
0, -23534, 0, -5, -5, -46
0, -24334, 0, -5, -5, -44
0, -25134, 0, -4, -4, -42
0, -25934, 0, -4, -3, -41
0, -26734, 0, -3, -3, -40
0, -27534, 0, -3, -3, -38
0, -28334, 0, -2, -3, -37
0, -29134, 0, -3, -2, -36
0, -29934, 0, -2, -3, -34
270, -30464, 0, -3, -3, -34
1070, -30464, 0, -2, -2, -35
1870, -30464, 0, -2, -2, -35
2670, -30464, 0, -2, -1, -35
3470, -30464, 0, -3, -1, -34
4270, -30464, 0, -3, -1, -35
5070, -30464, 0, -3, -1, -36
5870, -30464, 0, -2, 0, -36
6670, -30464, 0, -3, 1, -36
7470, -30464, 0, -2, 1, -37
8000, -30194, 0, -2, 1, -37
8000, -29394, 0, -2, 2, -36
8000, -28594, 0, -3, 1, -37
8000, -27794, 0, -3, 2, -38
8000, -26994, 0, -3, 1, -39
8000, -26194, 0, -4, 2, -39
8000, -25394, 0, -4, 2, -40
8000, -24594, 0, -4, 1, -42
8000, -23794, 0, -5, 1, -44
8000, -22994, 0, -5, 1, -45
8000, -22194, 0, -5, 2, -47
8000, -21394, 0, -6, 2, -49
8000, -20594, 0, -7, 2, -50
8000, -19794, 0, -7, 1, -52
8000, -18994, 0, -8, 1, -54
8000, -18194, 0, -8, 1, -56
8000, -17394, 0, -9, 1, -57
8000, -16594, 0, -10, 1, -60
8000, -15794, 0, -11, 1, -62
8000, -14994, 0, -12, 1, -64
8000, -14194, 0, -13, 0, -66
8000, -13394, 0, -14, 0, -69
8000, -12594, 0, -15, 1, -71
8000, -11794, 0, -17, 0, -73
8000, -10994, 0, -18, 0, -76
8000, -10194, 0, -19, -1, -79
8000, -9394, 0, -22, -1, -81
8000, -8594, 0, -24, -1, -83
8000, -7794, 0, -26, -2, -86
8000, -6994, 0, -28, -2, -88
8000, -6194, 0, -32, -2, -90
8000, -5394, 0, -35, -2, -90
8000, -4594, 0, -39, -3, -90
8000, -3794, 0, -43, -3, -90
8000, -2994, 0, -48, -4, -88
8000, -2194, 0, -54, -5, -84
8000, -1394, 0, -60, -5, -80
8000, -594, 0, -68, -6, -74
8000, 206, 0, -77, -6, -67
8000, 1006, 0, -90, -8, -60
8000, 1806, 0, -105, -9, -52
8000, 2606, 0, -125, -10, -45
8000, 3406, 0, -152, -12, -39
8000, 4206, 0, -181, -12, -33
8000, 5006, 0, -196, -13, -27
8000, 5806, 0, -196, -14, -22
8000, 6606, 0, -190, -14, -17
8000, 7406, 0, -186, -13, -13
8000, 8206, 0, -183, -11, -9
8000, 9006, 0, -183, -9, -6
8000, 9806, 0, -181, -7, -3
8000, 10606, 0, -181, -5, 0
8000, 11406, 0, -181, -3, 2
8000, 12206, 0, -183, 0, 6
8000, 13006, 0, -177, 2, 7
8000, 13806, 0, -170, 4, 9
8000, 14606, 0, -162, 5, 10
8000, 15406, 0, -156, 7, 11
8000, 16206, 0, -150, 9, 13
8000, 17006, 0, -145, 10, 14
8000, 17806, 0, -141, 11, 15
8000, 18606, 0, -137, 12, 16
8000, 19406, 0, -135, 13, 17
8000, 20206, 0, -133, 13, 18
8000, 21006, 0, -133, 14, 19
8000, 21806, 0, -132, 14, 21
8000, 22606, 0, -129, 15, 23
8000, 23406, 0, -126, 14, 25
8000, 24206, 0, -124, 14, 28
8000, 25006, 0, -123, 14, 30
8000, 25806, 0, -127, 13, 34
8000, 26606, 0, -133, 11, 38
8000, 27406, 0, -135, 11, 43
8000, 28206, 0, -136, 10, 48
8000, 29006, 0, -138, 8, 54
8000, 29806, 0, -143, 7, 60
8000, 30606, 0, -145, 6, 66
8000, 31406, 0, -146, 5, 72
8000, 32206, 0, -147, 4, 76
8000, -32530, 0, -150, 3, 80
8000, -31730, 0, -153, 2, 82
8000, -30930, 0, -156, 1, 85
8000, -30130, 0, -158, 1, 85
8000, -29330, 0, -156, 1, 84
8000, -28530, 0, -144, 2, 83
8000, -27730, 0, -123, 2, 83
8000, -26930, 0, -101, 3, 80
8000, -26130, 0, -85, 4, 78
8000, -25330, 0, -73, 5, 76
8000, -24530, 0, -62, 5, 73
8000, -23730, 0, -55, 6, 71
8000, -22930, 0, -48, 6, 68
8000, -22130, 0, -43, 7, 66
8000, -21330, 0, -37, 7, 64
8000, -20530, 0, -33, 7, 61
8000, -19730, 0, -30, 7, 59
8000, -18930, 0, -27, 7, 57
8000, -18130, 0, -23, 7, 54
8000, -17330, 0, -21, 7, 53
8000, -16530, 0, -19, 6, 50
8000, -15730, 0, -17, 6, 48
8000, -14930, 0, -15, 6, 46
8000, -14130, 0, -13, 6, 45
8000, -13330, 0, -12, 6, 43
8000, -12530, 0, -10, 6, 41
8000, -11730, 0, -10, 6, 41
8000, -10930, 0, -9, 6, 38
8000, -10130, 0, -8, 5, 37
8000, -9330, 0, -7, 6, 36
8000, -8530, 0, -6, 5, 34
8000, -7730, 0, -5, 6, 32
8000, -6930, 0, -5, 5, 32
8000, -6130, 0, -4, 5, 31
8000, -5330, 0, -4, 4, 29
8000, -4530, 0, -3, 5, 28
8000, -3730, 0, -3, 4, 27
8000, -2930, 0, -3, 4, 26
8000, -2130, 0, -2, 4, 26
8000, -1330, 0, -2, 4, 25
8000, -530, 0, -1, 4, 24
8270, 0, 0, -1, 4, 22
9070, 0, 0, -1, 5, 23
9870, 0, 0, -1, 6, 23
10670, 0, 0, -1, 6, 23
11470, 0, 0, -1, 6, 23
12270, 0, 0, -1, 7, 23
13070, 0, 0, -2, 7, 23
13870, 0, 0, 0, 8, 22
14670, 0, 0, -1, 9, 23
15470, 0, 0, -1, 9, 22
16000, -270, 0, -1, 9, 22
16000, -1070, 0, 0, 10, 22
16000, -1870, 0, -1, 10, 23
16000, -2670, 0, -1, 11, 23
16000, -3470, 0, -2, 10, 24
16000, -4270, 0, -1, 11, 25
16000, -5070, 0, -2, 10, 26
16000, -5870, 0, -2, 11, 26
16000, -6670, 0, -2, 11, 26
16000, -7470, 0, -3, 11, 28
16000, -8270, 0, -3, 11, 29
16000, -9070, 0, -4, 12, 30
16000, -9870, 0, -5, 12, 32
16000, -10670, 0, -6, 13, 33
16000, -11470, 0, -5, 13, 34
16000, -12270, 0, -6, 14, 35
16000, -13070, 0, -7, 14, 36
16000, -13870, 0, -8, 14, 38
16000, -14670, 0, -9, 15, 39
16000, -15470, 0, -10, 15, 41
16000, -16270, 0, -11, 15, 42
16000, -17070, 0, -14, 16, 43
16000, -17870, 0, -15, 17, 45
16000, -18670, 0, -17, 17, 47
16000, -19470, 0, -19, 18, 48
16000, -20270, 0, -20, 19, 51
16000, -21070, 0, -23, 18, 53
16000, -21870, 0, -26, 19, 54
16000, -22670, 0, -29, 20, 56
16000, -23470, 0, -33, 20, 58
16000, -24270, 0, -37, 22, 61
16000, -25070, 0, -42, 21, 63
16000, -25870, 0, -48, 22, 64
16000, -26670, 0, -57, 22, 67
16000, -27470, 0, -66, 22, 70
16000, -28270, 0, -78, 23, 71
16000, -29070, 0, -92, 23, 72
16000, -29870, 0, -117, 23, 75
16000, -30670, 0, -150, 23, 77
16000, -31470, 0, -170, 23, 78
16000, -32270, 0, -178, 24, 78
16000, 32466, 0, -174, 24, 78
16000, 31666, 0, -166, 25, 77
16000, 30866, 0, -156, 25, 75
16000, 30066, 0, -146, 26, 72
16000, 29266, 0, -141, 27, 66
16000, 28466, 0, -140, 26, 61
16000, 27666, 0, -135, 27, 54
16000, 26866, 0, -126, 26, 45
16000, 26066, 0, -120, 26, 41
16000, 25266, 0, -113, 25, 35
16000, 24466, 0, -108, 24, 31
16000, 23666, 0, -102, 23, 28
16000, 22866, 0, -96, 23, 24
16000, 22066, 0, -91, 22, 20
16000, 21266, 0, -87, 22, 19
16000, 20466, 0, -85, 22, 17
16000, 19666, 0, -88, 23, 15
16000, 18866, 0, -95, 24, 14
16000, 18066, 0, -98, 24, 13
16000, 17266, 0, -99, 25, 13
16000, 16466, 0, -100, 26, 12
16000, 15666, 0, -105, 26, 13
16000, 14866, 0, -112, 27, 12
16000, 14066, 0, -117, 26, 12
16000, 13266, 0, -121, 27, 12
16000, 12466, 0, -126, 27, 12
16000, 11666, 0, -132, 26, 11
16000, 10866, 0, -139, 25, 10
16000, 10066, 0, -147, 24, 10
16000, 9266, 0, -155, 24, 9
16000, 8466, 0, -164, 22, 7
16000, 7666, 0, -177, 20, 6
16000, 6866, 0, -192, 19, 4
16000, 6066, 0, -207, 17, 3
16000, 5266, 0, -210, 15, 0
16000, 4466, 0, -212, 14, -3
16000, 3666, 0, -217, 12, -7
16000, 2866, 0, -226, 11, -12
16000, 2066, 0, -215, 10, -18
16000, 1266, 0, -182, 9, -24
16000, 466, 0, -143, 8, -31
16000, -334, 0, -117, 8, -39
16000, -1134, 0, -97, 8, -47
16000, -1934, 0, -84, 8, -56
16000, -2734, 0, -71, 8, -64
16000, -3534, 0, -62, 7, -72
16000, -4334, 0, -56, 7, -77
16000, -5134, 0, -50, 8, -80
16000, -5934, 0, -44, 7, -84
16000, -6734, 0, -40, 7, -86
16000, -7534, 0, -35, 7, -86
16000, -8334, 0, -32, 7, -85
16000, -9134, 0, -29, 7, -84
16000, -9934, 0, -26, 7, -83
16000, -10734, 0, -24, 8, -80
16000, -11534, 0, -21, 7, -79
16000, -12334, 0, -20, 8, -76
16000, -13134, 0, -18, 8, -74
16000, -13934, 0, -17, 7, -72
16000, -14734, 0, -16, 7, -70
16000, -15534, 0, -14, 8, -66
16000, -16334, 0, -12, 8, -65
16000, -17134, 0, -12, 8, -62
16000, -17934, 0, -11, 8, -61
16000, -18734, 0, -9, 7, -59
16000, -19534, 0, -9, 7, -57
16000, -20334, 0, -8, 7, -55
16000, -21134, 0, -8, 7, -53
16000, -21934, 0, -6, 7, -51
16000, -22734, 0, -7, 7, -50
16000, -23534, 0, -6, 7, -48
16000, -24334, 0, -5, 8, -47
16000, -25134, 0, -5, 6, -45
16000, -25934, 0, -4, 6, -43
16000, -26734, 0, -4, 7, -42
16000, -27534, 0, -4, 7, -41
16000, -28334, 0, -4, 7, -39
16000, -29134, 0, -3, 7, -38
16000, -29934, 0, -3, 7, -36
16270, -30464, 0, -3, 6, -36
17070, -30464, 0, -3, 7, -36
17870, -30464, 0, -3, 7, -36
18670, -30464, 0, -3, 7, -36
19470, -30464, 0, -3, 8, -35
20270, -30464, 0, -3, 8, -35
21070, -30464, 0, -3, 9, -34
21870, -30464, 0, -3, 9, -35
22670, -30464, 0, -2, 10, -35
23470, -30464, 0, -3, 10, -35
24000, -30194, 0, -3, 10, -34
24000, -29394, 0, -3, 11, -34
24000, -28594, 0, -3, 11, -35
24000, -27794, 0, -4, 11, -36
24000, -26994, 0, -3, 11, -37
24000, -26194, 0, -4, 12, -38
24000, -25394, 0, -4, 12, -39
24000, -24594, 0, -5, 12, -40
24000, -23794, 0, -5, 13, -41
24000, -22994, 0, -5, 13, -43
24000, -22194, 0, -5, 13, -45
24000, -21394, 0, -6, 13, -46
24000, -20594, 0, -7, 13, -47
24000, -19794, 0, -7, 14, -49
24000, -18994, 0, -8, 14, -51
24000, -18194, 0, -8, 15, -53
24000, -17394, 0, -10, 14, -53
24000, -16594, 0, -9, 15, -56
24000, -15794, 0, -11, 15, -58
24000, -14994, 0, -12, 16, -60
24000, -14194, 0, -13, 16, -61
24000, -13394, 0, -14, 15, -63
24000, -12594, 0, -16, 16, -65
24000, -11794, 0, -17, 16, -67
24000, -10994, 0, -19, 16, -69
24000, -10194, 0, -20, 16, -70
24000, -9394, 0, -22, 16, -71
24000, -8594, 0, -24, 16, -72
24000, -7794, 0, -27, 15, -74
24000, -6994, 0, -29, 15, -74
24000, -6194, 0, -32, 15, -74
24000, -5394, 0, -35, 14, -73
24000, -4594, 0, -39, 14, -71
24000, -3794, 0, -43, 13, -69
24000, -2994, 0, -48, 13, -65
24000, -2194, 0, -53, 12, -59
24000, -1394, 0, -60, 11, -53
24000, -594, 0, -67, 10, -46
24000, 206, 0, -75, 8, -39
24000, 1006, 0, -87, 6, -32
24000, 1806, 0, -103, 6, -25
24000, 2606, 0, -123, 3, -19
24000, 3406, 0, -147, 2, -13
24000, 4206, 0, -160, 1, -9
24000, 5006, 0, -159, 0, -5
24000, 5806, 0, -151, 0, -1
24000, 6606, 0, -139, 1, 1
24000, 7406, 0, -127, 1, 3
24000, 8206, 0, -117, 2, 4
24000, 9006, 0, -107, 3, 5
24000, 9806, 0, -97, 4, 5
24000, 10606, 0, -89, 6, 6
24000, 11406, 0, -81, 7, 6
24000, 12206, 0, -75, 8, 6
24000, 13006, 0, -71, 9, 7
