x,y,z,u,v,w
0, -15470, 0, -52, 56, 18
0, -16270, 0, -53, 56, 18
0, -17070, 0, -53, 57, 17
0, -17870, 0, -54, 58, 16
0, -18670, 0, -55, 58, 15
0, -19470, 0, -56, 59, 15
0, -20270, 0, -56, 59, 14
0, -21070, 0, -57, 60, 13
0, -21870, 0, -59, 60, 13
0, -22670, 0, -60, 61, 12
0, -23470, 0, -62, 61, 11
0, -24270, 0, -64, 62, 11
0, -25070, 0, -67, 63, 10
0, -25870, 0, -69, 63, 10
0, -26670, 0, -71, 63, 9
0, -27470, 0, -74, 63, 9
0, -28270, 0, -76, 64, 8
0, -29070, 0, -79, 64, 8
0, -29870, 0, -81, 65, 7
0, -30670, 0, -83, 65, 6
0, -31470, 0, -85, 65, 6
0, -32270, 0, -87, 64, 5
0, -33070, 0, -87, 64, 4
0, -33870, 0, -88, 64, 2
0, -34670, 0, -89, 64, 0
0, -35470, 0, -89, 63, -1
0, -36270, 0, -88, 63, -3
0, -37070, 0, -88, 62, -5
0, -37870, 0, -86, 61, -7
0, -38670, 0, -84, 60, -10
0, -39470, 0, -81, 60, -12
0, -40270, 0, -76, 58, -14
0, -41070, 0, -72, 57, -17
0, -41870, 0, -67, 56, -20
0, -42670, 0, -61, 55, -22
0, -43470, 0, -57, 53, -25
0, -44270, 0, -52, 53, -27
0, -45070, 0, -46, 51, -28
0, -45870, 0, -43, 50, -30
0, -46670, 0, -39, 49, -32
0, -47470, 0, -35, 48, -34
0, -48270, 0, -33, 46, -35
0, -49070, 0, -30, 45, -35
0, -49870, 0, -27, 44, -36
0, -50670, 0, -25, 43, -35
0, -51470, 0, -23, 41, -36
0, -52270, 0, -21, 40, -36
0, -53070, 0, -19, 39, -35
0, -53870, 0, -17, 38, -35
0, -54670, 0, -16, 37, -35
0, -55470, 0, -15, 36, -34
0, -56270, 0, -14, 35, -33
0, -57070, 0, -13, 34, -32
0, -57870, 0, -12, 33, -32
0, -58670, 0, -11, 32, -31
0, -59470, 0, -10, 31, -30
0, -60270, 0, -9, 30, -29
0, -61070, 0, -9, 29, -29
0, -61870, 0, -8, 29, -28
0, -62670, 0, -8, 28, -26
0, -63470, 0, -7, 26, -26
0, -64270, 0, -7, 26, -25
0, -65070, 0, -6, 25, -24
0, -65870, 0, -6, 24, -24
0, -66670, 0, -5, 25, -23
0, -67470, 0, -5, 23, -23
0, -68270, 0, -5, 22, -22
0, -69070, 0, -4, 21, -21
0, -69870, 0, -4, 20, -20
0, -70670, 0, -4, 19, -20
0, -71470, 0, -3, 19, -19
0, -72270, 0, -3, 19, -18
0, -73070, 0, -3, 18, -18
0, -73870, 0, -3, 18, -18
0, -74670, 0, -2, 17, -17
0, -75470, 0, -2, 17, -16
0, -76270, 0, -2, 16, -16
0, -77070, 0, -2, 16, -15
0, -77870, 0, -1, 15, -15
0, -78670, 0, -1, 15, -15
0, -79470, 0, -1, 14, -14
0, -80270, 0, -1, 13, -14
0, -81070, 0, -1, 13, -14
0, -81870, 0, -1, 13, -13
0, -82670, 0, -1, 12, -13
0, -83470, 0, -1, 12, -13
0, -84270, 0, -1, 12, -12
0, -85070, 0, -1, 11, -12
0, -85870, 0, 0, 10, -12
0, -86670, 0, 0, 10, -11
0, -87470, 0, 0, 10, -11
0, -88270, 0, -1, 10, -11
0, -89070, 0, 0, 9, -11
0, -89870, 0, 0, 9, -10
0, -90670, 0, 0, 9, -10
0, -91470, 0, 0, 8, -10
0, -92270, 0, 1, 8, -10
0, -93070, 0, -1, 7, -9
0, -93870, 0, 0, 8, -9
0, -94670, 0, 0, 7, -9
0, -95470, 0, 0, 7, -9
270, -96000, 0, 0, 7, -9
1070, -96000, 0, -1, 7, -9
1870, -96000, 0, 0, 6, -9
2670, -96000, 0, 0, 7, -8
3470, -96000, 0, 0, 7, -7
4270, -96000, 0, 0, 7, -8
5070, -96000, 0, 0, 6, -7
5870, -96000, 0, 0, 7, -7
